amostra,atributos,classe_real,classe_prevista,acerto
1,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
2,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
3,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.2,1,1,sim
4,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
5,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
6,Bias=1.0 | PetalLength=1.7 | PetalWidth=0.4,1,1,sim
7,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.3,1,1,sim
8,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
9,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
10,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.1,1,1,sim
11,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
12,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.2,1,1,sim
13,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.1,1,1,sim
14,Bias=1.0 | PetalLength=1.1 | PetalWidth=0.1,1,1,sim
15,Bias=1.0 | PetalLength=1.2 | PetalWidth=0.2,1,1,sim
16,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.4,1,1,sim
17,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.4,1,1,sim
18,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.3,1,1,sim
19,Bias=1.0 | PetalLength=1.7 | PetalWidth=0.3,1,1,sim
20,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.3,1,1,sim
21,Bias=1.0 | PetalLength=1.7 | PetalWidth=0.2,1,1,sim
22,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.4,1,1,sim
23,Bias=1.0 | PetalLength=1.0 | PetalWidth=0.2,1,1,sim
24,Bias=1.0 | PetalLength=1.7 | PetalWidth=0.5,1,1,sim
25,Bias=1.0 | PetalLength=1.9 | PetalWidth=0.2,1,1,sim
26,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.2,1,1,sim
27,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.4,1,1,sim
28,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
29,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
30,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.2,1,1,sim
31,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.2,1,1,sim
32,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.4,1,1,sim
33,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.1,1,1,sim
34,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
35,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
36,Bias=1.0 | PetalLength=1.2 | PetalWidth=0.2,1,1,sim
37,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.2,1,1,sim
38,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.1,1,1,sim
39,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.2,1,1,sim
40,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
41,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.3,1,1,sim
42,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.3,1,1,sim
43,Bias=1.0 | PetalLength=1.3 | PetalWidth=0.2,1,1,sim
44,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.6,1,1,sim
45,Bias=1.0 | PetalLength=1.9 | PetalWidth=0.4,1,1,sim
46,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.3,1,1,sim
47,Bias=1.0 | PetalLength=1.6 | PetalWidth=0.2,1,1,sim
48,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
49,Bias=1.0 | PetalLength=1.5 | PetalWidth=0.2,1,1,sim
50,Bias=1.0 | PetalLength=1.4 | PetalWidth=0.2,1,1,sim
51,Bias=1.0 | PetalLength=4.7 | PetalWidth=1.4,-1,-1,sim
52,Bias=1.0 | PetalLength=4.5 | PetalWidth=1.5,-1,-1,sim
53,Bias=1.0 | PetalLength=4.9 | PetalWidth=1.5,-1,-1,sim
54,Bias=1.0 | PetalLength=4.0 | PetalWidth=1.3,-1,-1,sim
55,Bias=1.0 | PetalLength=4.6 | PetalWidth=1.5,-1,-1,sim
